Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,k,t,sample
J,"Gerhards, J",,,,"Gerhards, Juergen",,,Non-Discrimination towards Homosexuality The European Union's Policy and Citizens' Attitudes towards Homosexuality in 27 European Countries,INTERNATIONAL SOCIOLOGY,,,English,Article,,,,,,discrimination; European Union; homosexuality; modernization; religion; values,PUBLIC-OPINION; INTEGRATION; MEMBER; MODERNIZATION; CONVERGENCE; ACCEPTANCE; ATTITUDES; MOVEMENT; SUPPORT; SCRIPT,"The article first describes how the principle of non-discrimination of homosexuals is anchored in EU legislation and influences concrete policies of the European Union. Against this background, the second section analyses citizens' attitudes towards homosexuality and whether there are differences among the 27 EU member states and Turkey. The descriptive findings show that there are substantial differences at the national and individual level in the degree to which citizens think of homosexuality as acceptable. A sense that homosexuality is justifiable is particularly low in recently acceded countries and is almost non-existent in Turkey. Modernization theorists have argued that economic development influences the value orientation of the citizens. Other scholars have claimed that values are strongly influenced by the religious heritage of a country. Using multilevel analysis, the study tests to what extent modernization factors and/or religious factors influence citizens' attitudes towards non-discrimination of homosexuality. According to the results of the causal analysis, modernization theory and cultural heritage theory contribute to explaining attitudes towards homosexuality. All the hypotheses derived from the two theories are supported by the statistical analysis.","Free Univ Berlin, Inst Sociol, D-14195 Berlin, Germany",Free University of Berlin,"Gerhards, J (corresponding author), Free Univ Berlin, Inst Sociol, Garystr 55, D-14195 Berlin, Germany.",j.gerhards@fu-berlin.de,,,,,,,60,139,139,1,52,SAGE PUBLICATIONS LTD,LONDON,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",0268-5809,1461-7242,,INT SOCIOL,Int. Sociol.,JAN,2010,25,1,,,,,5,28,,10.1177/0268580909346704,http://dx.doi.org/10.1177/0268580909346704,,,24,Sociology,Social Science Citation Index (SSCI),Sociology,545QN,,,,,6/21/23,WOS:000273751600001,View Full Record in Web of Science,27,1,wos
J,"Sherkat, DE; de Vries, KM; Creek, S",,,,"Sherkat, Darren E.; de Vries, Kylan Mattias; Creek, Stacia",,,"Race, Religion, and Opposition to Same-Sex Marriage",SOCIAL SCIENCE QUARTERLY,,,English,Article,,,,,,,UNITED-STATES; CONSERVATIVE PROTESTANTISM; CHANGING ATTITUDES; BLACK-AMERICANS; PUBLIC-OPINION; GAY RIGHTS; HOMOSEXUALITY; AFFILIATION; PATTERNS; ATTENDANCE,"Objective We examine racial differences in support for same-sex marriage, and test whether the emerging black-white gap is a function of religiosity. We explore how religious factors play a crucial role in racial differences, and how secular factors have varying effects on attitudes for whites and African Americans. Methods Using data from the General Social Surveys, we estimate ordinal logistic regression models and stacked structural equation models. Results We show that the racial divide is a function of African Americans' ties to sectarian Protestant religious denominations and high rates of church attendance. We also show racial differences in the influence of education and political values on opposition to same sex marriage. Conclusions Religious factors are a source of racial differences in support for same-sex marriage, and secular influences play less of a role in structuring African Americans' beliefs about same-sex marriage.","[Sherkat, Darren E.] So Illinois Univ, Dept Sociol, Carbondale, IL 62901 USA",Southern Illinois University System; Southern Illinois University,"Sherkat, DE (corresponding author), So Illinois Univ, Dept Sociol, Carbondale, IL 62901 USA.",Sherkat@siu.edu,,,,,,,62,138,139,2,60,"WILEY-BLACKWELL PUBLISHING, INC",MALDEN,"COMMERCE PLACE, 350 MAIN ST, MALDEN 02148, MA USA",0038-4941,,,SOC SCI QUART,Soc. Sci. Q.,MAR,2010,91,1,,,,,80,98,,10.1111/j.1540-6237.2010.00682.x,http://dx.doi.org/10.1111/j.1540-6237.2010.00682.x,,,19,Political Science; Sociology,Social Science Citation Index (SSCI),Government & Law; Sociology,543DW,,Green Submitted,,,6/21/23,WOS:000273551700005,View Full Record in Web of Science,1,4,wos
J,"Brace, P; Sims-Butler, K; Arceneaux, K; Johnson, M",,,,"Brace, P; Sims-Butler, K; Arceneaux, K; Johnson, M",,,Public opinion in the American states: New perspectives using national survey data,AMERICAN JOURNAL OF POLITICAL SCIENCE,,,English,Article; Proceedings Paper,Annual Meeting of the American-Political-Science-Association,"SEP 01-05, 1999","ATLANTA, GEORGIA",Amer Polit Sci Assoc,,,POLITICAL FREEDOM; ATTITUDES; CONSEQUENCES; INTOLERANCE; RELIABILITY; ABORTION; IDEOLOGY,"General measures of ideology and partisanship derived from national survey data concatenated to the state level have been extremely important in understanding policy and political processes in the states. However, due to the lack of uniform survey data covering a broad array of survey questions, we know little about how specific state-level opinion relates to specific policies or processes. Using the General Social Survey (GSS) disaggregated to the state level, we develop and rigorously test specific measures of state-level opinion on tolerance, racial integration, abortion, religiosity, homosexuality, feminism, capital punishment, welfare, and the environment. To illustrate the utility of these measures, we compare the explanatory power of each to that of a general ideology measure. We use a simulation to clarify conditions under which a national sample frame can produce representative state samples. We offer these measures to advance the study of the role public opinion plays in state politics and policy.","Rice Univ, Houston, TX 77005 USA; Penn State Univ, University Pk, PA 16802 USA",Rice University; Pennsylvania Commonwealth System of Higher Education (PCSHE); Pennsylvania State University; Pennsylvania State University - University Park,"Brace, P (corresponding author), Rice Univ, 6100 Main St, Houston, TX 77005 USA.",,,,,,,,48,136,136,2,38,UNIV WISCONSIN PRESS,MADISON,"JOURNAL DIVISION, 2537 DANIELS ST, MADISON, WI 53718 USA",0092-5853,,,AM J POLIT SCI,Am. J. Polit. Sci.,JAN,2002,46,1,,,,,173,189,,10.2307/3088421,http://dx.doi.org/10.2307/3088421,,,17,Political Science,Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH); Social Science Citation Index (SSCI),Government & Law,499PV,,,,,6/21/23,WOS:000172580300011,View Full Record in Web of Science,1,16,wos
J,"Frost, DM; Meyer, IH; Schwartz, S",,,,"Frost, David M.; Meyer, Ilan H.; Schwartz, Sharon",,,Social Support Networks Among Diverse Sexual Minority Populations,AMERICAN JOURNAL OF ORTHOPSYCHIATRY,,,English,Article,,,,,,social support networks; LGB; minority stress; families of choice,GAY MEN; PHYSICAL HEALTH; PERCEIVED DISCRIMINATION; INTERNALIZED HOMOPHOBIA; BISEXUAL ADULTS; PUBLIC-OPINION; REDUCED RISK; SELF-ESTEEM; SAME-SEX; STRESS,"This article reports a study of the function and composition of social support networks among diverse lesbian, gay, and bisexual (LGB) men and women (n = 396) in comparison to their heterosexual peers (n = 128). Data were collected using a structured social support network matrix in a community sample recruited in New York City. Our findings show that gay and bisexual men may rely on chosen families more than lesbian and bisexual women. Both heterosexuals and LGBs relied less on family and more on other people (e.g., friends, coworkers) for everyday social support (e.g., recreational and social activities, talking about problems). Providers of everyday social support were most often of the same sexual orientation and race/ethnicity as participants. In seeking major support (e.g., borrowing large sums of money), heterosexual men and women along with lesbian and bisexual women relied primarily on their families, but gay and bisexual men relied primarily on other LGB individuals. Racial/ethnic minority LGBs relied on LGB similar others at the same rate as did White LGBs but, notably, racial/ethnic minority LGBs reported receiving fewer dimensions of support.","[Frost, David M.; Schwartz, Sharon] Columbia Univ, Mailman Sch Publ Hlth, New York, NY 10027 USA; [Meyer, Ilan H.] Univ Calif Los Angeles, Williams Inst, Los Angeles, CA USA",Columbia University; University of California System; University of California Los Angeles,"Frost, DM (corresponding author), Univ Surrey, Sch Psychol, Guildford GU2 7XH, Surrey, England.",d.frost@surrey.ac.uk,"Frost, David M/A-8765-2009; Meyer, Ilan H/A-2142-2009","Frost, David/0000-0001-9284-5219",NIMH NIH HHS [R01 MH066058] Funding Source: Medline,NIMH NIH HHS(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH)),,,89,129,135,7,45,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,WASHINGTON,"750 FIRST ST, NE, WASHINGTON, DC 20002-4242 USA",0002-9432,1939-0025,,AM J ORTHOPSYCHIAT,Am. J. Orthopsychiatr.,JAN,2016,86,1,,,,,91,102,,10.1037/ort0000117,http://dx.doi.org/10.1037/ort0000117,,,12,Psychiatry; Social Work,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Psychiatry; Social Work,DA9HQ,26752447,Green Accepted,Y,N,6/21/23,WOS:000368120000009,View Full Record in Web of Science,1,1,wos
J,"Oldenburg, CE; Perez-Brumer, AG; Hatzenbuehler, ML; Krakower, D; Novak, DS; Mimiaga, MJ; Mayer, KH",,,,"Oldenburg, Catherine E.; Perez-Brumer, Amaya G.; Hatzenbuehler, Mark L.; Krakower, Douglas; Novak, David S.; Mimiaga, Matthew J.; Mayer, Kenneth H.",,,State-level structural sexual stigma and HIV prevention in a national online sample of HIV-uninfected MSM in the United States,AIDS,,,English,Article,,,,,,HIV; MSM; postexposure prophylaxis; pre-exposure prophylaxis; structural stigma,HEALTH-CARE; POSTEXPOSURE PROPHYLAXIS; TRANSGENDER WOMEN; RISK BEHAVIOR; MEN; GAY; INFECTION; WORKERS; DISCRIMINATION; ADHERENCE,"Background:Stigmatizing social environments (of which structural stigma' is one component) negatively affect health-related outcomes. However, few studies have examined structural stigma related to sexual minority status as a risk factor for HIV outcomes among MSM.Methods:In August 2013, members of a large MSM social and sexual networking site in the United States completed a survey about HIV-prevention practices. A previously validated composite index provided values for state-level structural stigma, including density of same-sex couples, proportion of public high schools with Gay-Straight Alliances, state laws protecting sexual minorities, and public opinion toward homosexuality. Multivariable logistic generalized estimating equations assessed the relationship between structural stigma and condomless anal intercourse, use and awareness of antiretroviral-based HIV-prevention strategies (i.e. pre and postexposure prophylaxis, or PEP and PrEP), and comfort discussing male-male sex with primary care providers.Results:Among the 4098 HIV-uninfected MSM, lower state-level structural stigma was associated with decreased odds of condomless anal intercourse [adjusted odds ratio (aOR) 0.97 per one unit increase in structural stigma score, 95% confidence interval (CI) 0.94-0.99], increased odds of awareness of PEP (aOR 1.06, 95% CI 1.02-1.09), and PrEP (aOR 1.06, 95% CI 1.02-1.10), having taken PEP (aOR 1.15, 95% CI 1.05-1.26) and PrEP (aOR 1.21, 95% CI 1.01-1.44), and comfort discussing male-male sex with providers (aOR 1.08, 95% CI 1.05-1.11), after adjusting for social and state-level confounders.Conclusion:MSM living in more stigmatizing environments had decreased use of antiretroviral-based HIV-prevention strategies compared to those in less stigmatizing environments. Legal reforms protecting sexual minorities should be evaluated as structural interventions that could reduce HIV risk among MSM.","[Oldenburg, Catherine E.; Mimiaga, Matthew J.] Harvard Univ, Sch Publ Hlth, Dept Epidemiol, Boston, MA 02115 USA; [Perez-Brumer, Amaya G.; Hatzenbuehler, Mark L.] Columbia Mailman Sch Publ Hlth, Dept Sociomed Sci, New York, NY USA; [Krakower, Douglas; Mayer, Kenneth H.] Beth Israel Deaconess Med Ctr, Div Infect Dis, Dept Internal Med, Cambridge, MA USA; [Novak, David S.] Online Buddies Inc, OLB Res Inst, Cambridge, MA USA; [Mimiaga, Matthew J.; Mayer, Kenneth H.] Fenway Community Hlth, Fenway Inst, Boston, MA USA; [Mimiaga, Matthew J.] Harvard Univ, Sch Med, Dept Psychiat, Massachusetts Gen Hosp, Boston, MA 02115 USA; [Mayer, Kenneth H.] Harvard Univ, Sch Publ Hlth, Dept Global Hlth & Populat, Boston, MA 02115 USA",Harvard University; Harvard T.H. Chan School of Public Health; Harvard University; Beth Israel Deaconess Medical Center; Harvard University; Harvard Medical School; Massachusetts General Hospital; Harvard University; Harvard T.H. Chan School of Public Health,"Oldenburg, CE (corresponding author), 677 Huntington Ave,9th Floor, Boston, MA 02115 USA.",ceo242@mail.harvard.edu,"Perez-Brumer, Amaya/AAF-6336-2021","Perez-Brumer, Amaya/0000-0003-2441-4358","Gilead Sciences; National Institute of Allergy and Infectious Disease NRSA [T32AI007535]; National Institute of Drug Abuse NRSA [T32DA013911]; Eunice Kennedy Shriver National Institute of Child Health & Human Development [T32 HD049339]; National Institutes of Mental Health [R25 MH083620, MH098795]; National Institute of Drug Abuse Mentored Research Scientist Development Award [K01 DA032558]",Gilead Sciences(Gilead Sciences); National Institute of Allergy and Infectious Disease NRSA; National Institute of Drug Abuse NRSA; Eunice Kennedy Shriver National Institute of Child Health & Human Development(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)); National Institutes of Mental Health(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH)); National Institute of Drug Abuse Mentored Research Scientist Development Award,Funding: This work was funded by an unrestricted research grant from Gilead Sciences.; C.E.O. was supported by a National Institute of Allergy and Infectious Disease T32 NRSA grant (T32AI007535; PI: Seage). C.E.O. is currently supported by a National Institute of Drug Abuse T32 NRSA (T32DA013911 PI: Flanigan). A.P.B. is supported by Eunice Kennedy Shriver National Institute of Child Health & Human Development T32 HD049339 (PI: Nathanson) and the National Institutes of Mental Health R25 MH083620 (PI: Flanigan). M.L.H. is supported by a National Institute of Drug Abuse Mentored Research Scientist Development Award (K01 DA032558). D.S.K. is supported by a National Institutes of Mental Health Career Development Award (MH098795).,,37,122,122,0,19,LIPPINCOTT WILLIAMS & WILKINS,PHILADELPHIA,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA",0269-9370,1473-5571,,AIDS,Aids,24-Apr,2015,29,7,,,,,837,845,,10.1097/QAD.0000000000000622,http://dx.doi.org/10.1097/QAD.0000000000000622,,,9,Immunology; Infectious Diseases; Virology,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Immunology; Infectious Diseases; Virology,CG7FV,25730508,Green Accepted,,,6/21/23,WOS:000353469000011,View Full Record in Web of Science,1,1,wos
J,"Whitehead, AL",,,,"Whitehead, Andrew L.",,,Sacred Rites and Civil Rights: Religion's Effect on Attitudes Toward Same-Sex Unions and the Perceived Cause of Homosexuality,SOCIAL SCIENCE QUARTERLY,,,English,Article,,,,,,,GAY MEN; HETEROSEXUALS ATTITUDES; ATTRIBUTIONAL ANALYSIS; UNIVERSITY-STUDENTS; POLITICAL TOLERANCE; CAPITAL-PUNISHMENT; PUBLIC-OPINION; UNITED-STATES; LESBIANS; SUPPORT,"Objective Past research reveals how religion and opinions about the cause of homosexuality influence attitudes concerning same-sex unions. No study to date contains a comprehensive collection of religion measures while also accounting for views of the cause of homosexuality. Therefore, this study investigates the extent to which religion predicts certain attribution beliefs as well as attitudes toward same-sex unions while controlling for attribution beliefs. Method The Baylor Religion Survey (2007) is used to estimate binary logistic models predicting the effects of religion and attribution beliefs on attitudes toward same-sex unions. Findings First, religion is strongly associated with the belief that homosexuals choose their sexual orientation. Second, religion maintains a significant association with attitudes toward same-sex unions despite inclusion of an attribution variable. Conclusion Even if a biological explanation for homosexuality is ultimately proven, unfavorable attitudes toward same-sex unions will most likely endure due to religion's persistent effect.","Baylor Univ, Dept Sociol, Waco, TX 76798 USA",Baylor University,"Whitehead, AL (corresponding author), Baylor Univ, Dept Sociol, 1 Bear Pl,Box 97326, Waco, TX 76798 USA.",Andrew_Whitehead@Baylor.edu,"Whitehead, Andrew/AAH-3725-2019; Whitehead, Andrew/AAG-1046-2020","Whitehead, Andrew/0000-0001-6587-0996",,,,,46,103,103,2,37,"WILEY-BLACKWELL PUBLISHING, INC",MALDEN,"COMMERCE PLACE, 350 MAIN ST, MALDEN 02148, MA USA",0038-4941,,,SOC SCI QUART,Soc. Sci. Q.,MAR,2010,91,1,,,,,63,79,,10.1111/j.1540-6237.2010.00681.x,http://dx.doi.org/10.1111/j.1540-6237.2010.00681.x,,,17,Political Science; Sociology,Social Science Citation Index (SSCI),Government & Law; Sociology,543DW,,Green Submitted,,,6/21/23,WOS:000273551700004,View Full Record in Web of Science,1,1,wos
J,"Avery, A; Chase, J; Johansson, L; Litvak, S; Montero, D; Wydra, M",,,,"Avery, Alison; Chase, Justin; Johansson, Linda; Litvak, Samantha; Montero, Darrel; Wydra, Michael",,,"America's changing attitudes toward homosexuality, civil unions, and same-gender marriage: 1977-2004",SOCIAL WORK,,,English,Article,,,,,,civil unions; domestic partnership; homosexuality; marriage; same-sex marriage,SEXUAL ORIENTATION; SYSTEM; GAY,"On May 17, 2004, Massachusetts became the first state to legalize same-gender marriage. From California to Missouri, nearly all states now face legislative challenges to the once firmly entrenched notion that marriage can only exist between a man and a woman. Public opinion polls conducted from 1977 to 2004 found that Americans' attitudes toward gay men and lesbians and marriages or civil unions for same-gender couples have evolved. Opposition persists, however. The most recent data indicate support for some legal recognition of gay and lesbian couples, but most Americans favor civil unions over same-gender marriages. Although the future of civil unions and same-gender marriages remains uncertain, social workers can serve gay and lesbian clients and their families best by staying informed of the attendant legal, social, and policy issues.","Arizona State Univ, Sch Social Work, Tempe, AZ 85281 USA; Arizona State Univ, Sch Social Work, Tempe, AZ 85287 USA",Arizona State University; Arizona State University-Tempe; Arizona State University; Arizona State University-Tempe,"Avery, A (corresponding author), Arizona State Univ, Sch Social Work, Tempe, AZ 85281 USA.",Darrel.Montero@asu.edu,,,,,,,28,98,98,0,39,OXFORD UNIV PRESS INC,CARY,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0037-8046,1545-6846,,SOC WORK,Soc. Work,JAN,2007,52,1,,,,,71,79,,10.1093/sw/52.1.71,http://dx.doi.org/10.1093/sw/52.1.71,,,9,Social Work,Social Science Citation Index (SSCI),Social Work,147JC,17388085,,,,6/21/23,WOS:000244998200008,View Full Record in Web of Science,1,15,wos
J,"Hooghe, M; Meeusen, C",,,,"Hooghe, Marc; Meeusen, Cecil",,,Is Same-Sex Marriage Legislation Related to Attitudes Toward Homosexuality?,SEXUALITY RESEARCH AND SOCIAL POLICY,,,English,Article,,,,,,Same-sex marriage; Prejudice toward homosexuality; Social change; European Social Survey; Multilevel analysis,UNITED-STATES; PREJUDICE; EDUCATION; BELGIUM; VALUES; GENDER; UNIONS; RIGHTS; MEN,"Since 2001, various Western countries have accorded legal recognition to same-sex marriages, but thus far, we lack information on how this legislation is related to trends in public opinion. In most of the literature, declining levels of prejudice toward homosexuality are found to result from structural social processes (rising education, secularization, and detraditionalization), which should occur in all industrialized societies, with or without same-sex marriage. In this article, we analyze data of the five waves of the European Social Survey for the period 2002-2010. Results show that levels of prejudice are significantly lower in countries that recognize same-sex marriage, while levels are only slightly lower in countries with some form of registered partnership for gay and lesbian couples. Therefore, we can assume that same-sex marriage is indeed an issue affecting public opinion and public policy.","[Hooghe, Marc; Meeusen, Cecil] Ctr Citizenship & Democracy, B-3000 Louvain, Belgium",,"Hooghe, M (corresponding author), Ctr Citizenship & Democracy, Pk St 45,3th Floor, B-3000 Louvain, Belgium.",Marc.Hooghe@soc.kuleuven.be,,,,,,,47,93,93,0,82,SPRINGER,NEW YORK,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",1868-9884,1553-6610,,SEX RES SOC POLICY,Sex. Res. Soc. Policy,DEC,2013,10,4,,,,,258,268,,10.1007/s13178-013-0125-6,http://dx.doi.org/10.1007/s13178-013-0125-6,,,11,"Social Sciences, Interdisciplinary",Social Science Citation Index (SSCI),Social Sciences - Other Topics,233IV,,,,,6/21/23,WOS:000325562700002,View Full Record in Web of Science,29,4.24,wos
J,"Lewis, GB",,,,"Lewis, Gregory B.",,,The Friends and Family Plan: Contact with Gays and Support for Gay Rights,POLICY STUDIES JOURNAL,,,English,Article,,,,,,,HETEROSEXUALS ATTITUDES; INTERGROUP CONTACT; PUBLIC-OPINION; POLICY; HOMOSEXUALITY; POLITICS; STATES; MEN; CONFLICT; LESBIANS,"According to both the contact hypothesis and gay rights advocates, coming out to straight friends and family members should increase acceptance of homosexuality and support for gay rights. If lesbians, gay men, and bisexuals (LGBs) come out primarily to people they expect to be accepting, however, the repeated finding that people who know LGBs are more likely to support gay rights could be overstating the impact of coming out. Using individual-level data from 27 national surveys, I find that similar variables predict both knowing LGBs and supporting gay rights, but in different ways. Even after controlling for those demographic, religious, and political variables-and sometimes also for beliefs about whether some people are born gay and whether homosexuality is immoral-people who know LGBs are much more likely to support gay rights. The effect holds for every issue, in every year, for every type of relationship, and for every demographic, religious, and political subgroup.","[Lewis, Gregory B.] Georgia State Univ, Andrew Young Sch Policy Studies, Atlanta, GA 30303 USA",University System of Georgia; Georgia State University,"Lewis, GB (corresponding author), Georgia State Univ, Andrew Young Sch Policy Studies, Atlanta, GA 30303 USA.",,,,,,,,44,93,93,0,29,WILEY-BLACKWELL,MALDEN,"COMMERCE PLACE, 350 MAIN ST, MALDEN 02148, MA USA",0190-292X,,,POLICY STUD J,Policy Stud. J.,,2011,39,2,,,,,217,238,,10.1111/j.1541-0072.2011.00405.x,http://dx.doi.org/10.1111/j.1541-0072.2011.00405.x,,,22,Political Science; Public Administration,Social Science Citation Index (SSCI),Government & Law; Public Administration,759CU,,Green Submitted,,,6/21/23,WOS:000290218800002,View Full Record in Web of Science,1,22,wos
J,"Brewer, PR",,,,"Brewer, PR",,,"Framing, value words, and citizens' explanations of their issue opinions",POLITICAL COMMUNICATION,,,English,Article,,,,,,values; framing; public opinion; media effects; gay rights,PUBLIC-OPINION; POLICY; MODEL; AMBIVALENCE; PREFERENCES,"This study examines the effects of framing on how citizens use value language to explain their views on political issues. An experiment simulated exposure to framing in media coverage of gay rights. The results show that participants who received an equality frame were particularly likely to explain their views on gay rights in terms of equality and that participants who received a morality frame were particularly likely to cast their opinions in the language of morality. A closer examination, however, showed that exposure to the frames encouraged participants to use value language not only in ways suggested by the frames but also in ways that challenged the frames. Moreover, the results indicated that exposure to the morality frame interfered with the impact of the equality frame, suggesting that the presence of alternative frames can dampen framing effects.","George Washington Univ, Dept Polit Sci, Washington, DC 20052 USA",George Washington University,"Brewer, PR (corresponding author), George Washington Univ, Dept Polit Sci, 2201 G St,NW,Suite 507, Washington, DC 20052 USA.",,,,,,,,35,91,92,0,22,TAYLOR & FRANCIS INC,PHILADELPHIA,"325 CHESTNUT ST, SUITE 800, PHILADELPHIA, PA 19106 USA",1058-4609,,,POLIT COMMUN,Polit. Commun.,JUL-SEP,2002,19,3,,,,,303,316,,10.1080/01957470290055510,http://dx.doi.org/10.1080/01957470290055510,,,14,Communication; Political Science,Social Science Citation Index (SSCI),Communication; Government & Law,580TF,,,,,6/21/23,WOS:000177250500002,View Full Record in Web of Science,1,1,wos
J,"Price, V; Nir, L; Cappella, JN",,,,"Price, V; Nir, L; Cappella, JN",,,Framing public discussion of gay civil unions,PUBLIC OPINION QUARTERLY,,,English,Article,,,,,,,MEDIATED COMMUNICATION; CITIZENS EXPLANATIONS; NEWS FRAMES; OPINION; KNOWLEDGE,"Although the framing of public opinion has often been conceptualized as a collective and social process, experimental studies of framing have typically examined only individual, psychological responses to alternative message frames. In this research we employ for the first time group conversations as the unit of analysis (following Gamson 1992) in an experimental study of framing effects. Two hundred and thirty-five American citizens in 50 groups (17 homo-geneously conservative groups, 15 homogeneously liberal groups, and 18 heterogeneous groups) discussed whether or not gay and lesbian partnerships should be legally recognized. Groups were randomly assigned to one of two framing conditions (a homosexual marriage/special rights frame or a civil union/equal rights frame). Results indicated framing effects that were, in all cases, contingent on the ideological leanings of the group. The marriage frame tended to polarize group discussions along ideological lines. Both liberal and conservative groups appeared to find their opponents' frame more provocative, responding to them with a larger number of statements and expressing greater ambivalence than when reacting to more hospitable frames.","Univ Penn, Annenberg Sch Commun, Philadelphia, PA 19104 USA",University of Pennsylvania,"Price, V (corresponding author), Univ Penn, Annenberg Sch Commun, Philadelphia, PA 19104 USA.",vprice@asc.upenn.edu,"Nir, Lilach/GRJ-0145-2022","Nir, Lilach/0000-0003-1170-0152",,,,,54,90,91,0,19,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0033-362X,1537-5331,,PUBLIC OPIN QUART,Public Opin. Q.,SUM,2005,69,2,,,,,179,212,,10.1093/poq/nfi014,http://dx.doi.org/10.1093/poq/nfi014,,,34,"Communication; Political Science; Social Sciences, Interdisciplinary",Social Science Citation Index (SSCI),Communication; Government & Law; Social Sciences - Other Topics,928QK,,Green Submitted,,,6/21/23,WOS:000229286600001,View Full Record in Web of Science,1,1,wos
J,"Lindaman, K; Haider-Markel, DP",,,,"Lindaman, K; Haider-Markel, DP",,,"Issue evolution, political parties, and the culture wars",POLITICAL RESEARCH QUARTERLY,,,English,Article,,,,,,,PUBLIC-OPINION; ATTITUDES; PARTISANSHIP; POSTMATERIALISM; ENVIRONMENT; BEHAVIOR; POLICY,"Using the issue evolution framework, our research examines partisan polarization on several culture war issues, including pornography, environment, gun control, and gay civil rights. We look for evidence of partisan polarization among political elites and citizens, as well as examine top-down versus bottom-up paths of influence among Republicans and Democrats. Data from the General Social Survey and congressional roll-call votes between 1970-1999 are analyzed. Our results suggest that although partisan elites have become increasingly polarized on culture war issues, mass partisans have not followed suit across all issues. Only on environmental and gun control issues do we find significant evidence of issue evolution, including a linkage between elite and mass opinion. We conclude that culture war issues may not be as prone to issue evolution as previous research has indicated, in part because these issues are not all equally salient to the mass public.","Univ Kansas, Lawrence, KS 66045 USA",University of Kansas,"Lindaman, K (corresponding author), Univ Kansas, Lawrence, KS 66045 USA.",,"Haider-Markel, Donald/F-8278-2013","Haider-Markel, Donald/0000-0002-2095-1618",,,,,38,87,88,0,35,UNIV UTAH,SALT LAKE CITY,"WESTERN POLITICAL QUARTERLY, SALT LAKE CITY, UT 84112 USA",1065-9129,,,POLIT RES QUART,Polit. Res. Q.,MAR,2002,55,1,,,,,91,110,,10.1177/106591290205500104,http://dx.doi.org/10.1177/106591290205500104,,,20,Political Science,Social Science Citation Index (SSCI),Government & Law,541NG,,,,,6/21/23,WOS:000174990200004,View Full Record in Web of Science,1,16,wos
