survey,item,variable,values,question_text,response_categories,agreed,notes
abcwapo201303,marry4b,q29,c(4:1),Do you think it should be LEGAL or ILLEGAL for gay and lesbian couples to get married?,"1 Legal, STRONGLY
2 Legal, SOMEWHAT
3 Illegal, SOMEWHAT
4 Illegal, STRONGLY
8 DK/No opinion
9 NA/Refused",1,
abcwapo201402,adopt2,q17,"c(2, 1)",Do you favor or oppose allowing gay or lesbian couples to adopt a child?,"1 Favor
2 Oppose
8 DK/No opinion
9 NA/Refused",1,
abcwapo201402,marry4a,q15,c(4:1),"Overall, do you support or oppose allowing gays and lesbians to marry legally?", 1 Support strongly 2 Support somewhat 3 Oppose somewhat 4 Oppose strongly,1,
aes1987,legal2,q49,"c(2, 1)",Do you think that homosexual acts between consenting adults should be legal or should they be prohibited by law?,1 Legal 2 Prohibited,1,
aes2007,marry2,e4,"c(2, 1)","Do you think marriages between
same-sex couples should or should not be recognised by the law as valid, with the same rights as traditional marriages?",1 Should be recognised by law 2 Should not be recognised by law,1,
aes2013,marry5,e6same,c(1:5),"Here are some statements about general social concerns. Please say whether you strongly agree, agree, disagree or strongly
disagree with each of these statements.","1 Strongly agree 709 675.8 17.7%
2 Agree 449 410.9 10.7%
3 Neither agree nor disagree 810 791.0 20.7%
4 Disagree 744 727.6 19.0%
5 Strongly disagree 1115 1220.5 31.9%
-1 Missing 128 129.2",1,
aes2016,marry4a,e4,c(4:1),"Do you personally favour or oppose same sex couples being given the same rights to marry as couples consisting
of a man and a woman?","1 Strongly favour 951 1152.8 43.0%
2 Favour 808 738.2 27.6%
3 Oppose 424 348.3 13.0%
4 Strongly oppose 498 439.0 16.4%
999 Item skipped 137 32.6",1,
aes2019,marry4a,e4,c(4:1),Do you personally favor or oppose same sex couples being given the same rights to marry as couples consisting of a man and a woman?,1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
afrob6,neigh5,q89c,c(1:5),"For each of the following types of people, please tell me whether you would like having people from this group as neighbors, dislike it, or not care: Homosexuals",1 strongly dislike / 2 somewhat dislike / 3 would not care / 4 somewhat like / 5 strongly like,1,
allbus,approve4,ca13,c(1:4),A man has a homosexual relationship with another man,"1 Very bad
2 Fairly bad
3 Not so bad
4 Definitely not bad",1,
amb_antigua2016,run10,d5,c(1:10),"And now, changing the topic and thinking of homosexuals, how strongly do you approve 
or disapprove of homosexuals being permitted to run for public office?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_argentina2010,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_argentina2012,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_argentina2014,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_argentina2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_argentina2018,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_bolivia2010,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_bolivia2012,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_bolivia2014,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_bolivia2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_bolivia2018,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_brazil2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_brazil2018,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_canada2012,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_canada2014,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_canada2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_chile2010,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_chile2012,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_chile2014,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_chile2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_chile2018,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_colombia2009,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_colombia2011,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_colombia2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_colombia2018,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_combo,marry10,d6,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_combo,neigh2,dis35a,"c(1, 0)",Homosexuals. Would you mind having them as neighbors? , 0 Do not have a problem with having them as neighbors / 1 Do not want them as neighbors,1,
amb_combo,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_costarica2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_costarica2018,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_dominica2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_ecuador2014,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_ecuador2018,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_grenada2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_guyana2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_panama2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_panama2018,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_stkittsnevis2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_stlucia2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_stvincent2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_suriname2010,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_suriname2012,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_trinidad2010,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_trinidad2012,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_uruguay2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_uruguay2018,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_us2010,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_us2012,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_us2014,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_us2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. ÃˆÂ©Â¥Con quÃ‹Ã¥Ã– firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pÃÃ–Â§blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_us2018,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_venezuela2010,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_venezuela2012,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_venezuela2014,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
amb_venezuela2016,run10,d5,c(1:10),"Y ahora, cambiando el tema, y pensando en los homosexuales. é©´Con quèŒ… firmeza 
aprueba o desaprueba que estas personas puedan postularse para cargos pç…¤blicos?","1 Strongly Disapprove
2
3
4
5
6
7
8
9
10 Strongly Approve",1,
anes_combo,adopt2,vcf0878,"c(5, 1)","Do you think gay or lesbian couples, in other words, homosexual couples, should be legally permitted to adopt children?",1 Yes / 5 No,1,
anes2020,adopt2,v201415,"c(2, 1)",Do you think gay or lesbian couples should be legally permitted to adopt children?,1 Yes / 2 No,1,
angus_reid199301,marry2,a10,"c(2, 1)",Do you think homosexual couples who wish to marry should or should not qualify for legal recognition of the marriage?,1 should 2 should not,1,
angus_reid1995,adopt2,a11,"c(2, 1)",Do you think homosexual couples who wish to marry should or should not qualify for legal recognition of the marriage?,1 should 2 should not,1,
anpas1979,legal2,homosexl,"c(2, 1)","There has been a lot of discussion in the last few years about homosexuality. Do you think that homosexual acts between
consenting adults should be legal or should they be prohibited by law?",1 Should be legal 2 Should be prohibited,1,
ap_us1996,marry2,ap2,"c(2, 1)","Would you,personally,support or oppose giving homosexuals a legal right to marry a parter of the same sex?","1 support right to marry 2 Oppose right to marry
8 DK/No opinion 9 NA/Refused",1,
asiab2004,just10,q45b,c(1:10),"Please tell me for each of the following statements whether you think it can always be justified,
or something in between, using this card. READ OUT STATESMENTS. COME ONE
ANSWEWR FOR EACH[Homosexuality]","[1-10]1 Never Justifiable  10 Always
justifiable",1,
asiab2005,just10,q45b,c(1:10),"Please tell me for each of the following statements whether you think it can always be justified,
or something in between, using this card. READ OUT STATESMENTS. COME ONE
ANSWEWR FOR EACH[Homosexuality]","[1-10]1 Never Justifiable  10 Always
justifiable",1,
asiab2006,just10,q50b,c(1:10),"Please tell me for each of the following statements whether you think it can always be justified,
or something in between, using this card. READ OUT STATESMENTS. COME ONE
ANSWEWR FOR EACH[Homosexuality]","[1-10]1 Never Justifiable  10 Always
justifiable",1,
asiab2007,just10,q50b,c(1:10),"Please tell me for each of the following statements whether you think it can always be justified,
or something in between, using this card. READ OUT STATESMENTS. COME ONE
ANSWEWR FOR EACH[Homosexuality]","[1-10]1 Never Justifiable  10 Always
justifiable",1,
asiab2008,just10,q54b,c(1:10),"Please tell me for each of the following statements whether you think it can always be justified,
or something in between, using this card. READ OUT STATESMENTS. COME ONE
ANSWEWR FOR EACH[Homosexuality]","[1-10]1 Never Justifiable  10 Always
justifiable",1,
aussa2003,marry5,v109,c(5:1),Agree: The law should recognise same-sex relationships,"1 Strongly agree 
2 Agree 
3 Neither agree nor disagree 
4 Disagree
5 Strongly disagree 
9 Can't choose",1,
aussa2005,marry5,v141,c(5:1),"Here are some statements about gays and lesbians. How much do you agree or disagree that a gay or lesbian couple should
be able to  marry like heterosexual couples","1 Strongly agree 
2 Agree 
3 Neither agree nor disagree 
4 Disagree
5 Strongly disagree 
9 Can't choose",1,
belgiumes2007,adopt5,q96_3,c(1:5),How acceptable or unacceptable do you consider the following issues? That homosexual and lesbian couples have the right to adopt children,1 completely unacceptable 2 unacceptable 3 neither acceptable nor unacceptable 4 acceptable 5 completely acceptable,1,
bsa_combo,adopt2,gayadopt,"c(2, 1)",Do you think that homosexual couples should be legally permitted to adopt children,1 should 2 should not,1,
bsa_combo,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,1,
bsa_combo,marry5,marview0,c(5:1),Homosexual couple should have right to marry,1 Strongly agree 2 Agree 3 Neighter 4 Disagree 5 Strongly disagree,1,
bsa1993,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
bsa1995,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
bsa1996,approve5,gaysex,c(1:5),Homosexual relations are always wrong,1 stongly agree / 5 strongly disagree,,
bsa1997,approve5,gaysex,c(1:5),Homosexual relations are always wrong,1 stongly agree / 5 strongly disagree,,
bsa1998,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
bsa1999,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
bsa2000,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
bsa2003,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
bsa2005,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
bsa2006,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
bsa2007,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
bsa2007,marry5,gmlmarry,c(5:1),Gay and lesbian couples’ right to marriage,1 Strongly agree 2 Agree 3 Neither agree nor disagree 4 Disagree 5 Strongly disagree,,
bsa2008,approve4,sexhomo,c(1:4),What about sexual relations between two adults of the same sex?,1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,,
bsa2008,adopt5,gaychld,c(5:1),And do you approve or disapprove of allowing same-sex couples to adopt children?,1 strongly approve / 2 approve / 3 neither approve nor disapprove / 4 disapprove / 5 strongly disapprove,,
bsa2010,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
bsa2012,adopt2,gayadopt,c(2:1),And do you think homosexual couples should be allowed to adopt a the same conditions as other couples?,1 yes 2 no,,
bsa2012,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
bsa2012,marry5,gmlmarry,c(5:1),Gay and lesbian couples’ right to marriage,1 Strongly agree 2 Agree 3 Neither agree nor disagree 4 Disagree 5 Strongly disagree,,
bsa2013,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
bsa2014,marry5,gmlmarry,c(5:1),Gay or lesbian couples should have the right to marry one another if they want to,1 Strongly agree 2 Agree 3 Neither agree nor disagree 4 Disagree 5 Strongly disagree,,
bsa2015,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
bsa2016,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
